Workload_ID,    App_ID,SubmitTime,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,ResponseTime,
 0, 0, 0.294, 0.294, 0.304, 0.01, 20, 0.304, 1.601, 1.296, 1597, 2, 1.601, 1.624, 0.024, 47,     1.330,
 1, 0, 0.377, 0.377, 0.403, 0.026, 51, 0.403, 1.85, 1.447, 1421, 2, 1.85, 1.877, 0.027, 54,     1.500,
 2, 0, 0.482, 0.482, 0.492, 0.01, 10, 0.492, 2.099, 1.607, 1745, 2, 2.099, 2.154, 0.055, 111,     1.672,
 3, 0, 0.565, 0.565, 0.575, 0.01, 5, 0.575, 2.348, 1.773, 1740, 2, 2.348, 2.358, 0.01, 1,     1.793,
 4, 0, 0.908, 0.908, 0.921, 0.012, 25, 0.921, 3.363, 2.442, 1600, 2, 3.363, 3.449, 0.086, 172,     2.540,
 5, 0, 1.992, 1.992, 2.002, 0.01, 15, 2.002, 5.367, 3.365, 1583, 2, 5.367, 5.38, 0.013, 25,     3.388,
 7, 0, 2.09, 2.09, 2.127, 0.037, 36, 2.127, 5.623, 3.497, 1709, 2, 5.623, 5.633, 0.01, 5,     3.543,
 6, 0, 2.032, 2.032, 2.171, 0.139, 278, 2.171, 6.132, 3.961, 1563, 2, 6.132, 6.142, 0.01, 12,     4.110,
 8, 0, 2.169, 2.169, 2.183, 0.014, 43, 2.183, 6.382, 4.199, 1696, 2, 6.382, 6.45, 0.069, 137,     4.281,
 9, 0, 2.204, 2.204, 2.214, 0.01, 35, 2.214, 6.631, 4.417, 1728, 2, 6.631, 6.646, 0.015, 30,     4.442,
 10, 0, 2.558, 2.558, 2.568, 0.01, 10, 2.568, 7.381, 4.813, 1238, 2, 7.381, 7.391, 0.01, 3,     4.833,
 11, 0, 2.732, 2.732, 2.826, 0.094, 189, 2.826, 7.89, 5.064, 2033, 2, 7.89, 7.906, 0.016, 33,     5.174,
 12, 0, 2.743, 2.743, 2.951, 0.209, 394, 2.951, 8.139, 5.188, 1689, 2, 8.139, 8.212, 0.072, 145,     5.469,
 14, 0, 3.129, 3.129, 3.19, 0.061, 116, 3.19, 9.641, 6.451, 1687, 2, 9.641, 9.904, 0.263, 526,     6.775,
 15, 0, 3.287, 3.287, 3.722, 0.436, 872, 3.722, 10.405, 6.683, 1857, 2, 10.405, 10.428, 0.023, 46,     7.142,
 16, 0, 3.323, 3.323, 3.75, 0.427, 37, 3.75, 10.654, 6.905, 1117, 2, 10.654, 10.712, 0.058, 116,     7.389,
 17, 0, 3.345, 3.345, 3.772, 0.427, 36, 3.772, 10.903, 7.132, 1238, 2, 10.903, 11.011, 0.108, 216,     7.666,
 18, 0, 3.433, 3.433, 3.782, 0.349, 19, 3.782, 11.144, 7.362, 1583, 2, 11.144, 11.154, 0.01, 14,     7.721,
 20, 0, 3.75, 3.75, 3.853, 0.103, 62, 3.853, 11.9, 8.047, 1664, 2, 11.9, 11.966, 0.066, 131,     8.216,
 19, 0, 3.651, 3.651, 3.822, 0.17, 74, 3.822, 11.651, 7.829, 1375, 2, 11.651, 12.024, 0.373, 746,     8.372,
 13, 0, 2.797, 2.797, 4.09, 1.292, 2497, 4.09, 13.168, 9.079, 1051, 2, 13.168, 13.2, 0.031, 63,    10.402,
 22, 0, 4.491, 4.491, 4.535, 0.045, 66, 4.535, 14.186, 9.65, 1416, 2, 14.186, 14.203, 0.018, 35,     9.712,
 21, 0, 4.351, 4.351, 4.362, 0.011, 22, 4.362, 13.687, 9.325, 1250, 2, 13.687, 14.94, 1.253, 2506,    10.588,
 23, 0, 4.692, 4.692, 5.006, 0.314, 629, 5.006, 15.209, 10.203, 1527, 2, 15.209, 15.223, 0.014, 28,    10.531,
 26, 0, 4.891, 4.891, 5.04, 0.149, 44, 5.04, 15.719, 10.679, 1351, 2, 15.719, 15.822, 0.103, 218,    10.931,
 91, 0, 15.072, 15.072, 15.11, 0.037, 75, 15.11, 15.841, 0.731, 1221, 2, 15.841, 15.965, 0.124, 248,     0.893,
