Workload_ID,    App_ID,SubmitTime,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,ResponseTime,
 0, 0, 0, 0, 0.01, 0.01, 5, 0.01, 0.668, 0.658, 10000, 0, 0.668, 0.678, 0.01, 5,     0.678,
 1, 0, 0.4, 0.4, 0.41, 0.01, 5, 0.41, 1.068, 0.658, 10000, 0, 1.068, 1.078, 0.01, 5,     0.678,
 2, 0, 0.4, 0.4, 0.43, 0.03, 5, 0.43, 1.318, 0.888, 10000, 0, 1.318, 1.328, 0.01, 5,     0.928,
 3, 0, 0.4, 0.4, 0.45, 0.05, 5, 0.45, 1.568, 1.118, 10000, 0, 1.568, 1.578, 0.01, 5,     1.178,
 4, 0, 0.4, 0.4, 0.464, 0.064, 5, 0.464, 1.824, 1.36, 10000, 0, 1.824, 1.834, 0.01, 5,     1.434,
 5, 0, 0.8, 0.8, 0.81, 0.01, 5, 0.81, 2.068, 1.258, 10000, 0, 2.068, 2.078, 0.01, 5,     1.278,
 6, 0, 1.2, 1.2, 1.21, 0.01, 5, 1.21, 2.324, 1.114, 10000, 0, 2.324, 2.334, 0.01, 5,     1.134,
 7, 0, 1.5, 1.5, 1.51, 0.01, 5, 1.51, 2.574, 1.064, 10000, 0, 2.574, 2.584, 0.01, 5,     1.084,
 8, 0, 1.5, 1.5, 1.53, 0.03, 5, 1.53, 2.828, 1.298, 10000, 0, 2.828, 2.838, 0.01, 5,     1.338,
 9, 0, 1.5, 1.5, 1.55, 0.05, 5, 1.55, 3.078, 1.528, 10000, 0, 3.078, 3.088, 0.01, 5,     1.588,
 10, 0, 1.5, 1.5, 1.568, 0.068, 5, 1.568, 3.328, 1.76, 10000, 0, 3.328, 3.338, 0.01, 5,     1.838,
 11, 0, 1.8, 1.8, 1.81, 0.01, 5, 1.81, 3.578, 1.768, 10000, 0, 3.578, 3.588, 0.01, 5,     1.788,
 12, 0, 2.1, 2.1, 2.11, 0.01, 5, 2.11, 3.828, 1.718, 10000, 0, 3.828, 3.838, 0.01, 5,     1.738,
 13, 0, 2.4, 2.4, 2.41, 0.01, 5, 2.41, 4.078, 1.668, 10000, 0, 4.078, 4.088, 0.01, 5,     1.688,
 14, 0, 2.4, 2.4, 2.43, 0.03, 5, 2.43, 4.328, 1.898, 10000, 0, 4.328, 4.338, 0.01, 5,     1.938,
 15, 0, 2.7, 2.7, 2.71, 0.01, 5, 2.71, 4.578, 1.868, 10000, 0, 4.578, 4.588, 0.01, 5,     1.888,
 16, 0, 3, 3, 3.01, 0.01, 5, 3.01, 4.828, 1.818, 10000, 0, 4.828, 4.838, 0.01, 5,     1.838,
 17, 0, 3.5, 3.5, 3.51, 0.01, 5, 3.51, 5.078, 1.568, 10000, 0, 5.078, 5.088, 0.01, 5,     1.588,
 21, 0, 6.4, 6.4, 6.41, 0.01, 5, 6.41, 7.062, 0.652, 10000, 0, 7.062, 7.072, 0.01, 5,     0.672,
 23, 0, 6.6, 6.6, 6.61, 0.01, 5, 6.61, 7.312, 0.702, 10000, 0, 7.312, 7.322, 0.01, 5,     0.722,
 25, 0, 6.8, 6.8, 6.81, 0.01, 5, 6.81, 7.562, 0.752, 10000, 0, 7.562, 7.572, 0.01, 5,     0.772,
 27, 0, 7, 7, 7.01, 0.01, 5, 7.01, 7.812, 0.802, 10000, 0, 7.812, 7.822, 0.01, 5,     0.822,
 29, 0, 7.3, 7.3, 7.31, 0.01, 5, 7.31, 8.062, 0.752, 10000, 0, 8.062, 8.072, 0.01, 5,     0.772,
 31, 0, 8, 8, 8.01, 0.01, 5, 8.01, 8.662, 0.652, 10000, 0, 8.662, 8.672, 0.01, 5,     0.672,
 18, 0, 4, 4, 4.01, 0.01, 5, 4.01, 8.674, 4.664, 110000, 0, 8.674, 8.684, 0.01, 5,     4.684,
 19, 0, 4.8, 4.8, 4.81, 0.01, 5, 4.81, 8.874, 4.064, 10000, 0, 8.874, 8.884, 0.01, 5,     4.084,
 33, 0, 8.6, 8.6, 8.61, 0.01, 5, 8.61, 9.264, 0.654, 10000, 0, 9.264, 9.274, 0.01, 5,     0.674,
 35, 0, 9.6, 9.6, 9.61, 0.01, 5, 9.61, 10.264, 0.654, 10000, 0, 10.264, 10.274, 0.01, 5,     0.674,
 20, 0, 5.6, 5.6, 5.61, 0.01, 5, 5.61, 10.784, 5.174, 110000, 0, 10.784, 10.794, 0.01, 5,     5.194,
 22, 0, 6.5, 6.5, 6.51, 0.01, 5, 6.51, 10.917, 4.407, 10000, 0, 10.917, 10.927, 0.01, 5,     4.427,
 24, 0, 6.7, 6.7, 6.71, 0.01, 5, 6.71, 11.051, 4.341, 10000, 0, 11.051, 11.061, 0.01, 5,     4.361,
 26, 0, 6.9, 6.9, 6.91, 0.01, 5, 6.91, 11.184, 4.274, 10000, 0, 11.184, 11.194, 0.01, 5,     4.294,
 28, 0, 7.1, 7.1, 7.11, 0.01, 5, 7.11, 11.317, 4.207, 10000, 0, 11.317, 11.327, 0.01, 5,     4.227,
 30, 0, 7.5, 7.5, 7.51, 0.01, 5, 7.51, 11.457, 3.947, 10000, 0, 11.457, 11.467, 0.01, 5,     3.967,
 32, 0, 8.2, 8.2, 8.21, 0.01, 5, 8.21, 11.591, 3.381, 10000, 0, 11.591, 11.601, 0.01, 5,     3.401,
 34, 0, 9.2, 9.2, 9.21, 0.01, 5, 9.21, 11.737, 2.527, 10000, 0, 11.737, 11.747, 0.01, 5,     2.547,
 37, 0, 11.3, 11.3, 11.31, 0.01, 5, 11.31, 11.897, 0.587, 10000, 0, 11.897, 11.907, 0.01, 5,     0.607,
 36, 0, 10.2, 10.2, 10.21, 0.01, 5, 10.21, 11.937, 1.727, 10000, 0, 11.937, 11.947, 0.01, 5,     1.747,
 38, 0, 12.1, 12.1, 12.11, 0.01, 5, 12.11, 12.634, 0.524, 10000, 0, 12.634, 12.644, 0.01, 5,     0.544,
 39, 0, 12.3, 12.3, 12.31, 0.01, 5, 12.31, 12.83, 0.52, 10000, 0, 12.83, 12.84, 0.01, 5,     0.540,
 40, 0, 12.5, 12.5, 12.51, 0.01, 5, 12.51, 13.031, 0.521, 10000, 0, 13.031, 13.041, 0.01, 5,     0.541,
 41, 0, 13.1, 13.1, 13.11, 0.01, 5, 13.11, 13.631, 0.521, 10000, 0, 13.631, 13.641, 0.01, 5,     0.541,
 42, 0, 14.5, 14.5, 14.51, 0.01, 5, 14.51, 15.051, 0.541, 10000, 0, 15.051, 15.061, 0.01, 5,     0.561,
 43, 0, 14.6, 14.6, 14.61, 0.01, 5, 14.61, 15.197, 0.587, 10000, 0, 15.197, 15.207, 0.01, 5,     0.607,
 44, 0, 15.5, 15.5, 15.51, 0.01, 5, 15.51, 16.035, 0.525, 10000, 0, 16.035, 16.045, 0.01, 5,     0.545,
 45, 0, 16.1, 16.1, 16.11, 0.01, 5, 16.11, 16.647, 0.537, 10000, 0, 16.647, 16.657, 0.01, 5,     0.557,
 46, 0, 16.2, 16.2, 16.21, 0.01, 5, 16.21, 16.805, 0.595, 10000, 0, 16.805, 16.815, 0.01, 5,     0.615,
 47, 0, 17.2, 17.2, 17.21, 0.01, 5, 17.21, 17.73, 0.52, 10000, 0, 17.73, 17.74, 0.01, 5,     0.540,
 48, 0, 17.5, 17.5, 17.51, 0.01, 5, 17.51, 18.06, 0.55, 10000, 0, 18.06, 18.07, 0.01, 5,     0.570,
 49, 0, 17.6, 17.6, 17.61, 0.01, 5, 17.61, 18.188, 0.578, 10000, 0, 18.188, 18.198, 0.01, 5,     0.598,
 50, 0, 17.7, 17.7, 17.71, 0.01, 5, 17.71, 18.366, 0.656, 10000, 0, 18.366, 18.376, 0.01, 5,     0.676,
 51, 0, 20, 20, 20.01, 0.01, 5, 20.01, 20.112, 0.102, 10000, -1, 20.112, 20.122, 0.01, 5,     0.122,
 52, 0, 30, 30, 30.01, 0.01, 5, 30.01, 30.112, 0.102, 10000, -1, 30.112, 30.122, 0.01, 5,     0.122,
 53, 0, 100, 100, 100.01, 0.01, 5, 100.01, 100.668, 0.658, 10000, 0, 100.668, 100.678, 0.01, 5,     0.678,
 54, 0, 100, 100, 100.03, 0.03, 5, 100.03, 100.918, 0.888, 10000, 0, 100.918, 100.928, 0.01, 5,     0.928,
 55, 0, 100, 100, 100.05, 0.05, 5, 100.05, 101.168, 1.118, 10000, 0, 101.168, 101.178, 0.01, 5,     1.178,
 56, 0, 100, 100, 100.07, 0.07, 5, 100.07, 101.418, 1.348, 10000, 0, 101.418, 101.428, 0.01, 5,     1.428,
#======================================
#Number of workloads:57
#Timeout workloads:0
#Timeout workloads per cent:0
#Over workloads:0
#Over workloads per cent:0
#Number of Cloudlets:114
#Over Cloudlets:0
#Over Cloudlets per cent:0
#Number of transmissions:57
#Over transmissions:57
#Over transmissions per cent:1
#======================================
#Total serve time:86.83370666666659
#CPU serve time:1.5120000000001133
#Network serve time:85.32170666666649
#Average total serve time:1.523398362573098
#Average CPU serve time per workload:0.02652631578947567
#Average network serve time per workload:1.4968720467836225
#Average CPU serve time per Cloudlet:0.013263157894737835
#Average network serve time per transmission:1.4968720467836225
